"Alphalipothrixvirus SBFV2"
"Klebsiella virus KpV763"
"Klebsiella virus KpV766"
"Klebsiella virus KpV767"
"Klebsiella virus Pharr"
"Klebsiella virus PRA33"
"Klebsiella virus SHKp152234"
"Klebsiella virus SHKp152410"
"Citrobacter virus CFP1"
"Citrobacter virus SH1"
"Citrobacter virus SH2"
"Enterobacter virus E2"
"Enterobacter virus E3"
"Enterobacter virus KPN3"
"Enterobacteria virus T7M"
"Escherichia virus ECA2"
"Escherichia virus LL2"
"Escherichia virus T3"
"Escherichia virus T3Luria"
"Leclercia virus 10164-302"
"Salmonella virus SG-JL2"
"Serratia virus 2050H2"
"Serratia virus SM9-3Y"
"Yersinia virus AP5"
"Yersinia virus YeF10"
"Yersinia virus YeO3-12"
"Enterobacteria virus IME390"
"Escherichia virus 13a"
"Escherichia virus 64795ec1"
"Escherichia virus C5"
"Escherichia virus CICC80001"
"Escherichia virus Ebrios"
"Escherichia virus EG1"
"Escherichia virus HZ2R8"
"Escherichia virus HZP2"
"Escherichia virus N30"
"Escherichia virus NCA"
"Escherichia virus T7"
"Salmonella virus 3A8767"
"Salmonella virus Vi06"
"Stenotrophomonas virus IME15"
"Yersinia virus YpPY"
"Yersinia virus YpsPG"
"Pseudomonas virus Phi15"
"Pectobacterium virus DUPPII"
"Pseudomonas virus 3MF5"
"Synechococcus virus SCBP42"
"Ralstonia virus Anchaing"
"Aquamicrobium virus P14"
"Ashivirus S45C4"
"Agrobacterium virus Atuph02"
"Agrobacterium virus Atuph03"
"Ralstonia virus Ap1"
"Ayaqvirus S45C18"
"Prochlorococcus virus SS120-1"
"Pseudomonas virus Andromeda"
"Pseudomonas virus Bf7"
"Escherichia virus J8-65"
"Escherichia virus Lidtsur"
"Prochlorococcus virus NATL1A7"
"Chosvirus KM23C739"
"Rhizobium virus RHEph02"
"Rhizobium virus RHEph08"
"Rhizobium virus RHEph09"
"Vibrio virus Cyclit"
"Escherichia virus PGT2"
"Escherichia virus PhiKT"
"Foussvirus S46C10"
"Fussvirus S30C28"
"Escherichia virus ECBP5"
"Pectobacterium virus PP99"
"Ralstonia virus DURPI"
"Ralstonia virus RsoP1EGY"
"Synechococcus STIP37"
"Jalkavirus S08C159"
"Ralstonia virus RSB3"
"Kawavirus SWcelC56"
"Synechococcus virus SRIP1"
"Providencia virus PS3"
"Curvibacter virus P26059B"
"Ralstonia virus RSB2"
"Synechococcus virus SCBP2"
"Krakvirus S39C11"
"Podovirus Lau218"
"Pantoea virus LIMElight"
"Prochlorococcus virus PGSP1"
"Synechococcus virus SCBP3"
"Caulobacter virus Lullwater"
"Vibrio virus KF1"
"Vibrio virus KF2"
"Vibrio virus OWB"
"Vibrio virus VP93"
"Pseudomonas virus VSW3"
"Nohivirus S31C1"
"Oinezvirus S37C6"
"Rhizobium virus RHEph01"
"Pagavirus S05C849"
"Mesorhizobium virus Lo5R7ANS"
"Pedosvirus S28C3"
"Pekhitvirus S04C24"
"Pelagibacter virus HTVC019P"
"Pelagivirus S35C6"
"Caulobacter virus Percy"
"Delftia virus IMEDE1"
"Podivirus S05C243"
"Pseudomonas virus PollyC"
"Synechococcus virus SCBP4"
"Powvirus S08C41"
"Xanthomonas virus f20"
"Xanthomonas virus f30"
"Xanthomonas virus XAJ24"
"Xanthomonas virus Xc10"
"Xylella virus Prado"
"Synechococcus virus SB28"
"Sphingomonas virus Scott"
"Synechococcus virus SRIP2"
"Ralstonia virus ITL1"
"Sieqvirus S42C7"
"Ralstonia virus RPSC1"
"Stopalavirus S38C3"
"Pelagibacter virus HTVC011P"
"Stupnyavirus KM16C193"
"Prochlorococcus virus 951510a"
"Prochlorococcus virus NATL2A133"
"Prochlorococcus virus PSSP10"
"Vibrio virus JSF7"
"Prochlorococcus virus PSSP7"
"Synechococcus virus P60"
"Prochlorococcus virus PSSP3"
"Synechococcus virus PSSP2"
"Synechococcus virus Syn5"
"Votkovvirus S28C10"
"Pantoea virus LIMEzero"
"Pasteurella virus PHB01"
"Pasteurella virus PHB02"
"Escherichia virus flopper"
"Escherichia virus GJ1"
"Escherichia virus Mangalitsa"
"Escherichia virus ST32"
"Erwinia virus Faunus"
"Erwinia virus Y2"
"Pantoea virus SSEM1"
"Proteus virus Myduc"
"Escherichia virus 4HA13"
"Pectobacterium virus PM1"
"Pectobacterium virus PP101"
"Aeromonas virus pAh6C"
"Shewanella virus Spp001"
"Shewanella virus SppYZU05"
"Vibrio virus Ceto"
"Vibrio virus Thalassa"
"Vibrio virus JSF10"
"Vibrio virus JSF12"
"Vibrio virus phi3"
"Vibrio virus pVp1"
"Escherichia virus EPS7"
"Escherichia virus mar003J3"
"Escherichia virus saus132"
"Salmonella virus 123"
"Salmonella virus 329"
"Salmonella virus 1-19"
"Salmonella virus 1-29"
"Salmonella virus 100268sal2"
"Salmonella virus 118970sal2"
"Salmonella virus 2-3"
"Salmonella virus 3-29"
"Salmonella virus atrejo"
"Salmonella virus bastian"
"Salmonella virus bombadil"
"Salmonella virus faergetype"
"Salmonella virus fuchur"
"Salmonella virus LVR16A"
"Salmonella virus oselot"
"Salmonella virus OSYSTA"
"Salmonella virus rokbiter"
"Salmonella virus S113"
"Salmonella virus S114"
"Salmonella virus S116"
"Salmonella virus S124"
"Salmonella virus S126"
"Salmonella virus S132"
"Salmonella virus S133"
"Salmonella virus S147"
"Salmonella virus SB13"
"Salmonella virus SE24"
"Salmonella virus Seafire"
"Salmonella virus Sepoy"
"Salmonella virus SH9"
"Salmonella virus STG2"
"Salmonella virus Stitch"
"Salmonella virus Sw2"
"Yersinia virus phiR201"
"Escherichia virus AKFV33"
"Escherichia virus BF23"
